"Head","SRD","Count","Comm_freq"
10,0,48528258,0.0277278240648983
10,1,30836023,0.0241010327434247
10,2,10760465,0.0170778865039754
10,3,2373647,0.0220719424581667
10,4,369636,0.0483232152712398
10,5,46646,0.0905329503065643
10,6,4871,0.0835557380414699
10,7,340,0.0117647058823529
10,8,5,NA
11,-9,2,NA
11,-8,39,NA
11,-7,386,NA
11,-6,2832,NA
11,-5,14322,0.00391006842619746
11,-4,54265,0.0283423938081636
11,-3,142290,0.0390470166561248
11,-2,311707,0.0555682098894154
11,-1,574824,0.128515858767205
11,0,726187,0.174494999221963
11,1,574824,0.13485693012122
11,2,311707,0.0740342693619328
11,3,142290,0.0577904279991567
11,4,54265,0.0429558647378605
11,5,14322,0.0410557184750733
11,6,2832,0.00494350282485876
11,7,386,NA
11,8,39,NA
11,9,2,NA
12,-9,9,NA
12,-8,97,NA
12,-7,765,NA
12,-6,4110,0.00316301703163017
12,-5,15613,0.00832639467110741
12,-4,45655,0.0105136348702223
12,-3,97889,0.0341304947440468
12,-2,120084,0.0986309583291696
12,-1,153084,0.264286274202399
12,0,200757,0.986829849021454
12,1,153084,0.360194403072823
12,2,120084,0.159121947969755
12,3,97889,0.052957942158976
12,4,45655,0.0232395137443873
12,5,15613,0.0142189201306603
12,6,4110,0.00656934306569343
12,7,765,NA
12,8,97,NA
12,9,9,NA
13,-8,12,NA
13,-7,201,NA
13,-6,1817,NA
13,-5,11612,0.00111953151911815
13,-4,53960,0.00537435137138621
13,-3,184227,0.0177878378305026
13,-2,483255,0.0550330570816649
13,-1,919279,0.138597748887987
13,0,1185674,0.202981595278297
13,1,919279,0.147911569828094
13,2,483255,0.0771497449586657
13,3,184227,0.0371661048597654
13,4,53960,0.0347479614529281
13,5,11612,0.0221322769548743
13,6,1817,0.0110071546505228
13,7,201,NA
13,8,12,NA
14,-6,17,NA
14,-5,90,NA
14,-4,581,0.0481927710843374
14,-3,2106,0.139126305792972
14,-2,4498,0.468430413517119
14,-1,10026,1.00937562337921
14,0,15093,1.35526402968263
14,1,10026,1.13814083383204
14,2,4498,0.885504668741663
14,3,2106,0.248812915479582
14,4,581,0.135972461273666
14,5,90,NA
14,6,17,NA
15,-4,83,0.0481927710843374
15,-3,763,0.310615989515072
15,-2,2808,0.378561253561254
15,-1,10793,0.663114981932734
15,0,17331,0.701690612197796
