"Head","RD","Count","Comm_freq"
11,0,1711,NA
11,1,3420,15.3286549707602
11,2,20310,3.42304283604136
11,3,33190,1.00973184694185
11,4,79150,0.477409981048642
11,5,160278,0.206946680143251
11,6,341900,0.0848464463293361
11,7,593656,0.0448559435093724
11,8,668454,0.0383975561519566
11,9,509934,0.0339691018837732
11,10,302834,0.0273846397696428
11,11,154646,0.0167931921937845
11,12,48692,0.0147662860428818
11,13,8520,0.0190140845070423
11,14,822,NA
11,15,4,NA
12,0,1037,NA
12,1,2072,14.1732625482625
12,2,44166,3.85228456278585
12,3,18244,1.47692392019294
12,4,47744,0.566563337801609
12,5,58472,0.333031194417841
12,6,98064,0.201970141948116
12,7,130278,0.069397749428146
12,8,164614,0.0772534535337213
12,9,187756,0.103304288544707
12,10,129774,0.00605668315687272
12,11,128102,0.00197498868089491
12,12,53520,0.00274663677130045
12,13,9724,NA
12,14,1730,NA
12,15,72,NA
13,0,2120,NA
13,1,4238,30.4351109013686
13,2,23724,7.05635643230484
13,3,29406,2.25766850302659
13,4,75248,1.00782745056347
13,5,171846,0.276357901842347
13,6,399708,0.0976212635223713
13,7,766106,0.0244404821264942
13,8,1146318,0.0172037776603002
13,9,1045600,0.0104045524100995
13,10,561144,0.00833119484481702
13,11,202848,0.00644324814639533
13,12,54308,0.00136259851218973
13,13,10402,0.000192270717169775
13,14,1192,0.000838926174496644
13,15,192,NA
14,0,223,NA
14,1,444,27.5405405405405
14,2,1670,10.1149700598802
14,3,2246,2.4893143365984
14,4,5452,1.34556126192223
14,5,8798,0.416571948170039
14,6,10816,0.204049556213018
14,7,10526,0.0815124453733612
14,8,5798,0.0374266988616764
14,9,2430,0.00246913580246914
14,10,1326,NA
15,0,215,NA
15,1,428,12.3761682242991
15,2,2378,3.00883095037847
15,3,2426,1.21269579554823
15,4,5270,0.69146110056926
15,5,9922,0.492844184640194
15,6,14926,0.26879271070615
15,7,10336,0.182082043343653
15,8,324,NA
16,0,300,NA
16,1,598,32.1739130434783
16,2,2136,11.0955056179775
16,3,3184,2.60144472361809
16,4,6252,1.32805502239283
16,5,11750,0.523234042553192
16,6,20318,0.235456245693474
16,7,22166,0.149327799332311
16,8,13702,0.0799153408261568
16,9,6750,0.0628148148148148
16,10,2804,0.000356633380884451
16,11,40,NA
17,0,7560,NA
17,1,15118,17.6762799312078
17,2,131856,4.2914467297658
17,3,127834,1.51509770483596
17,4,312082,0.546231439173038
17,5,488402,0.246225445432246
17,6,989024,0.106557575953667
17,7,1844098,0.0442395143858949
17,8,3185996,0.0201186693266407
17,9,4806270,0.0128074369521479
17,10,6396554,0.00820035287750251
17,11,7274404,0.00825510928455447
17,12,7572080,0.00661786457617987
17,13,7093074,0.00706562486166087
17,14,5889468,0.00378166584825659
17,15,4142234,0.0027955929095266
17,16,2919924,0.00133907594855209
17,17,1964208,0.000961201664996782
17,18,1123524,0.000365813280357162
17,19,589732,0.000154307380301561
17,20,235478,0.000178360611182361
17,21,42928,NA
17,22,1752,NA
18,0,1042,NA
18,1,2082,24.7756964457253
18,2,10314,8.29813845258871
18,3,12118,1.89849810199703
18,4,29210,0.907326258130777
18,5,44240,0.382075045207957
18,6,75972,0.187582267151056
18,7,121682,0.159497707138278
18,8,155486,0.14948612736838
18,9,189194,0.13607725403554
18,10,182356,0.108545921165193
18,11,122042,0.0911653365234919
18,12,81110,0.055924053754161
18,13,46308,0.056081022717457
18,14,11624,0.0149690295939436
18,15,984,NA
19,0,230,NA
19,1,458,33.089519650655
19,2,1716,9.81410256410256
19,3,3240,2.49074074074074
19,4,6524,1.46735131820969
19,5,9298,0.397289739728974
19,6,10446,0.273118897185526
19,7,9656,0.173881524440762
19,8,7342,0.108825932988287
19,9,3726,0.140901771336554
19,10,264,0.268939393939394
20,0,302,NA
20,1,602,17.531561461794
20,2,12252,3.45796604635978
20,3,3870,1.27751937984496
20,4,12166,0.583593621568305
20,5,20758,0.264235475479333
20,6,25598,0.098718649894523
20,7,7054,0.14984406010774
20,8,6714,0.0108728030980042
20,9,1596,0.0294486215538847
20,10,122,NA
20,11,170,NA
21,0,2223,NA
21,1,4444,12.1863186318632
21,2,27166,3.07476257086063
21,3,46872,0.755440348182284
21,4,141952,0.320263187556357
21,5,295364,0.0923301417911458
21,6,686934,0.0475431409713306
21,7,1139414,0.0238078521064336
21,8,1634192,0.0158714520692795
21,9,898042,0.0061121862897281
21,10,64510,0.00212370175166641
21,11,616,NA
22,0,1811,NA
22,1,3620,24.557182320442
22,2,24834,10.5471128291858
22,3,25112,2.31263937559732
22,4,91682,0.847276455574704
22,5,115778,0.449869577985455
22,6,313536,0.206027378036334
22,7,444218,0.128941195539127
22,8,575322,0.0259593757930342
22,9,468032,0.00828789484479693
22,10,420664,0.00314502786071544
22,11,538780,0.00096143138201121
22,12,189808,0.000616412374610132
22,13,32462,0.000831741728790586
22,14,29048,0.000172128890112917
22,15,5014,NA
23,0,2181,NA
23,1,4360,14.5706422018349
23,2,28018,4.24919694482119
23,3,38492,1.3387197339707
23,4,123834,0.578185312595894
23,5,213368,0.13505774061715
23,6,707578,0.0631690075157792
23,7,706746,0.038756498091252
23,8,1982202,0.0230985540323337
23,9,614774,0.0192493501677039
23,10,275794,0.0241158255799619
23,11,52376,0.032228501603788
23,12,6638,0.0254594757457065
23,13,400,0.005
24,0,2646,NA
