"Head","DRD","Count","Comm_freq"
4,-4,1269,0.444444444444444
4,-3,1396,1.64255014326648
4,-2,233,3.10729613733906
4,-1,241,22.5933609958506
4,0,13884,NA
4,1,241,25.9294605809129
4,2,233,5.41630901287554
4,3,1396,2.33954154727794
4,4,1269,0.978723404255319
4,5,4341,0.479382630730247
4,6,2270,0.0731277533039648
4,7,5342,0.0960314488955447
4,8,1785,NA
4,9,1971,NA
4,10,2124,NA
4,11,1206,NA
4,12,162,NA
5,-7,203,0.00492610837438424
5,-6,259,0.0115830115830116
5,-5,2093,0.865742952699474
5,-4,552,0.800724637681159
5,-3,754,2.97480106100796
5,-2,101,5.94059405940594
5,-1,112,32.3125
5,0,4621,NA
5,1,112,39.5803571428571
5,2,101,11.6336633663366
5,3,754,3.52122015915119
5,4,552,0.992753623188406
5,5,2093,0.947921643573817
5,6,259,0.027027027027027
5,7,203,0.0344827586206897
6,-9,4581,0.00283780833879066
6,-8,3388,0.0200708382526564
6,-7,4648,0.03184165232358
6,-6,4025,0.0847204968944099
6,-5,3544,0.369638826185102
6,-4,1646,0.826245443499392
6,-3,2606,1.14850345356869
6,-2,253,3.01185770750988
6,-1,261,16.0306513409962
6,0,18740,NA
6,1,261,17.904214559387
6,2,253,5.01581027667984
6,3,2606,1.31158864159632
6,4,1646,1.03645200486027
6,5,3544,0.437923250564334
6,6,4025,0.154782608695652
6,7,4648,0.0393717728055077
6,8,3388,0.0658205430932704
6,9,4581,0.00196463654223969
7,-13,13869,0.000288413007426635
7,-12,42036,0.000333047863735845
7,-11,2785649,0.00754904871360319
7,-10,1808249,0.0059941965957122
7,-9,7073329,0.00812022175131398
7,-8,1801691,0.00665541427470082
7,-7,2830066,0.0276361045996807
7,-6,582407,0.0353532838719315
7,-5,535778,0.171701712276353
7,-4,82370,0.192934320747845
7,-3,71645,0.786628515597739
7,-2,7313,1.38274306030357
7,-1,7321,16.0356508673678
7,0,18328238,NA
7,1,7321,18.509356645267
7,2,7313,2.4498837686312
7,3,71645,0.964365971107544
7,4,82370,0.335838290639796
7,5,535778,0.197466114696759
7,6,582407,0.0569395628830011
7,7,2830066,0.0303964642520704
7,8,1801691,0.0084681557492378
7,9,7073329,0.0103738989095516
7,10,1808249,0.0076560252487351
7,11,2785649,0.00751638128134593
7,12,42036,0.000142734798743934
7,13,13869,NA
8,-9,15978,0.0285392414570034
8,-8,36269,0.0656483498304337
8,-7,126559,0.0836526837285377
8,-6,21628,0.0964952838912521
8,-5,48905,0.187342807483897
8,-4,7502,0.217541988802986
8,-3,7248,0.960954746136865
8,-2,903,1.18826135105205
8,-1,914,15.3949671772429
8,0,305413,NA
8,1,914,16.2833698030635
8,2,903,2.16389811738649
8,3,7248,1.22130242825607
8,4,7502,0.353239136230339
8,5,48905,0.194049688170944
8,6,21628,0.0835491030146107
8,7,126559,0.0760672887744056
8,8,36269,0.0674405139375224
8,9,15978,0.038365252221805
9,-15,2128,NA
9,-14,5760,0.000173611111111111
9,-13,241405,0.000194693564756322
9,-12,666168,0.000387289692690132
9,-11,2829427,0.00141159323071421
9,-10,1756608,0.00415744434728751
9,-9,5054924,0.00462776492782087
9,-8,1425197,0.0147137553615395
9,-7,1912820,0.049952949049048
9,-6,394579,0.0750901593850661
9,-5,407918,0.218906741060703
9,-4,60596,0.279820450194732
9,-3,69678,1.04764775108356
9,-2,6515,1.92279355333845
9,-1,6522,16.2115915363385
9,0,12869039,NA
9,1,6522,19.1936522539098
9,2,6515,3.80306983883346
9,3,69678,1.42413674330492
9,4,60596,0.613010759786125
9,5,407918,0.258498031467109
9,6,394579,0.105834319616604
9,7,1912820,0.056408862308006
9,8,1425197,0.0221057159115547
9,9,5054924,0.00712176879415002
9,10,1756608,0.0106677186942107
9,11,2829427,0.000698021189449313
9,12,666168,5.55415450757167e-05
9,13,241405,3.31393301712889e-05
9,14,5760,NA
9,15,2128,NA
10,-15,1358,NA
10,-14,8830,0.00702151755379388
10,-13,523330,0.000496818451072937
10,-12,1517171,0.000311105340136346
10,-11,10901088,0.00130574122509606
10,-10,4931068,0.00251020671383968
10,-9,16333015,0.00397391418547036
10,-8,3669503,0.00843738239211141
10,-7,4674625,0.0301339679653448
10,-6,883888,0.0372185163731151
10,-5,707696,0.202334053039723
10,-4,112808,0.281097085313098
10,-3,103827,1.17948125246805
10,-2,11709,2.14382099239901
10,-1,11717,17.2990526585303
10,0,48528258,NA
10,1,11717,20.0578646411197
10,2,11709,3.82090699461952
10,3,103827,1.53423483294326
10,4,112808,0.582565066307354
10,5,707696,0.256474531437227
10,6,883888,0.0571610882826784
10,7,4674625,0.0328413509105008
10,8,3669503,0.00813979440812557
10,9,16333015,0.00362970339523964
10,10,4931068,0.00213706239703042
10,11,10901088,0.000973756014078597
10,12,1517171,0.000396791132970509
10,13,523330,0.00106815966980681
10,14,8830,0.00509626274065685
10,15,1358,NA
11,-15,2,NA
11,-14,411,NA
11,-13,4260,0.0185446009389671
11,-12,23531,0.0171688411032255
11,-11,77323,0.0168513896253379
11,-10,106804,0.0303921201453129
11,-9,254967,0.0365929708550518
11,-8,156483,0.0319970859454382
11,-7,296828,0.0428194105677362
11,-6,64163,0.0525380671103284
11,-5,80139,0.202123809880333
11,-4,15753,0.246365771599061
11,-3,16595,0.931786682735764
11,-2,1698,1.73733804475854
11,-1,1710,14.2707602339181
11,0,726187,NA
11,1,1710,16.3865497076023
11,2,1698,3.17608951707892
11,3,16595,1.08767701114794
11,4,15753,0.389322668698026
11,5,80139,0.211769550406169
11,6,64163,0.0778330190296588
11,7,296828,0.0468924764510086
11,8,156483,0.035326521091748
11,9,254967,0.0313452329124946
11,10,106804,0.0286412493914086
11,11,77323,0.0167349947622312
11,12,23531,0.0133865964047427
11,13,4260,0.0194835680751174
11,14,411,NA
11,15,2,NA
12,-15,36,NA
12,-14,865,NA
12,-13,4862,NA
12,-12,26184,0.00152765047357165
12,-11,64051,0.0013426800518337
12,-10,55657,0.00285678351330471
12,-9,93878,0.0633481752913356
12,-8,54420,0.0704336640940831
12,-7,65139,0.0575845499623881
12,-6,24474,0.126542453215657
12,-5,29236,0.27784238609933
12,-4,7318,0.34968570647718
12,-3,9122,1.44661258495944
12,-2,1028,2.57684824902724
12,-1,1036,12.3803088803089
12,0,200757,NA
12,1,1036,15.9662162162162
12,2,1028,3.20330739299611
12,3,9122,1.50723525542644
12,4,7318,0.503142935228204
12,5,29236,0.388220002736352
12,6,24474,0.172427882650977
12,7,65139,0.0812109488939038
12,8,54420,0.152352076442484
12,9,93878,0.143260401798078
12,10,55657,0.0108342167202688
12,11,64051,0.00260729730995613
12,12,26184,0.00408646501680416
12,13,4862,NA
12,14,865,NA
12,15,36,NA
13,-15,96,NA
13,-14,204,NA
13,-13,5201,NA
13,-12,22870,0.00139921294271972
13,-11,101424,0.00431850449597728
13,-10,181922,0.0033256010817823
13,-9,522800,0.0107899770466718
13,-8,221253,0.0196291123736175
13,-7,383053,0.0248973379662866
13,-6,94597,0.0384367368944047
13,-5,85923,0.275828357948396
13,-4,16091,0.598409048536449
13,-3,14703,2.13010950146229
13,-2,2107,4.10061699098244
13,-1,2119,28.3459178857952
13,0,1185674,NA
13,1,2119,32.524303916942
13,2,2107,6.89416231608923
13,3,14703,2.3852275045909
13,4,16091,0.917034367037474
13,5,85923,0.276887445736299
13,6,94597,0.0423057813672738
13,7,383053,0.0239836262867018
13,8,221253,0.0224991299553
13,9,522800,0.0100191277735272
13,10,181922,0.0048537285210145
13,11,101424,0.00856799179681338
13,12,22870,0.00144293834717971
13,13,5201,0.00038454143433955
13,14,204,NA
13,15,96,NA
14,-10,663,NA
14,-9,1215,NA
14,-8,1026,NA
14,-7,5263,0.0640319209576287
14,-6,2125,0.105882352941176
14,-5,4399,0.397590361445783
